,vert_lines,hor_lines,max_parallel_vert,top_hor_line_pos,top_hor_line_angle,box_height,box_angle,box_area,target
0,5,3,376.11101269560095,584.8820466684323,-1.2373311847937454,1310.3867729554179,1.4830423420577512,483966,1
1,12,4,424.1242308819219,603.5128892912404,1.5181439359526094,225.0659244066801,1.5707963267948966,473477,1
2,6,3,356.1069390207267,491.8351490556756,-0.9916200275297392,151.04535896665652,-1.4128391542680354,433268,1
3,1,1,0.0,817.5753730565392,-1.2197803878463165,68.0197387518142,1.360186763425748,390436,1
4,13,7,369.1119199272066,463.28230350154945,1.5181439359526094,1299.3939945404913,1.360186763425748,545288,1
5,6,3,357.1045387994145,697.782608937613,-1.3426359664783194,0.0,1.3952883573206063,485560,1
6,2,5,0.0,628.285624731203,-1.2899835756360325,0.0,0.0,468547,1
7,6,5,324.0924393723253,397.60943887398184,-1.4479407481628934,1041.2970042796005,1.3952883573206063,450334,1
8,2,5,0.0,335.5715921952782,-1.0969248092143133,482.15238697439145,1.5181439359526094,269815,1
9,5,5,72.02047199317622,169.6420421285745,-1.3250851695308903,538.1529712823428,1.4654915451103223,464622,1
10,3,0,134.03869477331773,0.0,0.0,292.0843199537976,1.4479407481628934,392400,1
11,8,5,318.09439002671434,281.14031850322374,-1.4654915451103225,14.004155535767268,-1.4654915451103225,487997,1
12,11,2,777.2256752831831,630.5566708475241,1.5181439359526094,0.0,1.5181439359526094,532615,1
13,0,0,0.0,0.0,0.0,970.277539341917,1.5707963267948966,409982,1
14,6,8,300.08774495466514,302.33289971374506,-1.5005931390051805,0.0,0.0,400147,0
15,3,2,221.06168015629373,628.1612971518005,-1.1320264031091714,0.0,1.5707963267948966,407237,0
16,9,4,437.13592534992245,466.29098398700876,1.5181439359526094,0.0,1.5356947329000383,447446,0
17,2,9,0.0,461.7149293495558,-1.2899835756360325,1047.3064091308165,1.3777375603731774,469172,0
18,2,2,0.0,960.4741949213089,1.1846787939514583,0.0,1.50059313900518,528850,0
19,1,0,0.0,0.0,0.0,935.2631578947369,1.5707963267948966,315085,0
20,9,1,433.1276909466235,1008.333504243544,1.2724327786886032,1408.4152167502214,1.360186763425748,581309,0
21,9,4,463.1350247885682,797.8554538371424,-1.5532455298474674,0.0,1.5707963267948966,412138,0
22,1,1,0.0,613.0342817777369,1.4830423420577512,144.04136742315404,1.5181439359526094,488794,0
23,4,0,227.06686303387323,0.0,0.0,0.0,0.0,396403,0
24,3,6,70.02058218171123,155.21392821099778,-1.0618232153194551,0.0,-1.4303899512154645,408641,0
25,4,3,304.08633910820754,616.117943711525,1.3777375603731774,1279.3632490769667,1.3952883573206063,370166,0
26,3,3,78.02294792586099,279.50404212418846,-1.0091708244771682,0.0,1.5356947329000383,395369,0
27,13,1,495.14941140959854,699.4334009039138,1.50059313900518,0.0,0.0,669255,0
28,2,0,0.0,0.0,0.0,0.0,0.0,386923,0
29,2,5,0.0,300.5952456418386,1.5707963267948966,863.2735340729002,1.50059313900518,355672,0
30,6,5,334.1055292259084,605.9451038791136,-1.3777375603731774,1194.377251184834,1.4830423420577512,428168,0
31,0,0,0.0,0.0,0.0,0.0,0.0,423133,0
32,0,0,0.0,0.0,0.0,885.2622222222221,1.4830423420577512,417620,0
33,9,5,397.11975867269985,563.056319871217,1.50059313900518,12.003619909502277,-1.4830423420577514,628762,0
34,4,0,411.1184779475352,0.0,0.0,0.0,0.0,520005,0
